Epoch  1 ; Batch 100 ; Train loss:  2.192326328754425
Epoch  7 ; Batch 400 ; Train loss:  0.05307373521849513
Epoch  7 ; Batch 500 ; Train loss:  0.05705104360356927
Epoch  7 ; Batch 600 ; Train loss:  0.060383588937111196
Epoch  7 ; Batch 700 ; Train loss:  0.0655976247228682
Epoch  7 ; Batch 800 ; Train loss:  0.0569449459714815
Epoch  7 ; Batch 900 ; Train loss:  0.05250963987316936
Epoch  8 ; Batch 100 ; Train loss:  0.05591247306670993
Epoch  8 ; Batch 200 ; Train loss:  0.05705360373482108
Epoch  8 ; Batch 300 ; Train loss:  0.055604794998653236
Epoch  8 ; Batch 400 ; Train loss:  0.05613448158372194
Epoch  8 ; Batch 500 ; Train loss:  0.052126820259727535
Epoch  8 ; Batch 600 ; Train loss:  0.05894490633625537
Epoch  8 ; Batch 700 ; Train loss:  0.06529105155030265
Epoch  8 ; Batch 800 ; Train loss:  0.049877545004710554
Epoch  8 ; Batch 900 ; Train loss:  0.05551502300426364
Epoch  9 ; Batch 100 ; Train loss:  0.0434432757855393
Epoch  9 ; Batch 200 ; Train loss:  0.044144418600481
Epoch  9 ; Batch 300 ; Train loss:  0.05063098189653829
Epoch  9 ; Batch 400 ; Train loss:  0.05248220776440576
Epoch  9 ; Batch 500 ; Train loss:  0.05265031214337796
Epoch  9 ; Batch 600 ; Train loss:  0.044094044314697385
Epoch  9 ; Batch 700 ; Train loss:  0.045903825096320364
Epoch  9 ; Batch 800 ; Train loss:  0.054067806415259836
Epoch  9 ; Batch 900 ; Train loss:  0.05394842408131808
Epoch  10 ; Batch 100 ; Train loss:  0.041998144695535304
Epoch  10 ; Batch 200 ; Train loss:  0.052260897519299764
Epoch  10 ; Batch 300 ; Train loss:  0.04599951687268913
Epoch  10 ; Batch 400 ; Train loss:  0.043983308346942064
Epoch  10 ; Batch 500 ; Train loss:  0.050216241818852723
Epoch  10 ; Batch 600 ; Train loss:  0.051678373265312987
Epoch  10 ; Batch 700 ; Train loss:  0.04395015775226056
Epoch  10 ; Batch 800 ; Train loss:  0.0482248076191172
Epoch  10 ; Batch 900 ; Train loss:  0.052993784446734936
Epoch  11 ; Batch 100 ; Train loss:  0.038390515600331125
Epoch  11 ; Batch 200 ; Train loss:  0.04704067403334193
Epoch  11 ; Batch 300 ; Train loss:  0.0407423393568024
Epoch  11 ; Batch 400 ; Train loss:  0.048952338951639834
Epoch  11 ; Batch 500 ; Train loss:  0.04545648362953216
Epoch  11 ; Batch 600 ; Train loss:  0.04006640936248004
Epoch  11 ; Batch 700 ; Train loss:  0.04484504388412461
Epoch  11 ; Batch 800 ; Train loss:  0.04664252458605915
Epoch  11 ; Batch 900 ; Train loss:  0.03966033265111037
Epoch  12 ; Batch 100 ; Train loss:  0.04673210110981017
Epoch  12 ; Batch 200 ; Train loss:  0.041739776479080316
Epoch  12 ; Batch 300 ; Train loss:  0.04289577185176313
Epoch  12 ; Batch 400 ; Train loss:  0.04258118123514578
Epoch  12 ; Batch 500 ; Train loss:  0.03952741730259732
Epoch  12 ; Batch 600 ; Train loss:  0.03662152770906687
Epoch  12 ; Batch 700 ; Train loss:  0.04573748324182816
Epoch  12 ; Batch 800 ; Train loss:  0.0373038381501101
Epoch  12 ; Batch 900 ; Train loss:  0.04467008211882785
Epoch  13 ; Batch 100 ; Train loss:  0.037226502099074424
Epoch  13 ; Batch 200 ; Train loss:  0.04264149913797155
Epoch  13 ; Batch 300 ; Train loss:  0.0464636810135562
Epoch  13 ; Batch 400 ; Train loss:  0.04567217684583738
Epoch  13 ; Batch 500 ; Train loss:  0.042507439830806105
Epoch  13 ; Batch 600 ; Train loss:  0.03925836886279285
Epoch  13 ; Batch 700 ; Train loss:  0.04684956712182611
Epoch  13 ; Batch 800 ; Train loss:  0.03260706655681133
Epoch  13 ; Batch 900 ; Train loss:  0.03425406476017088
Epoch  14 ; Batch 100 ; Train loss:  0.04382761738728732
Epoch  14 ; Batch 200 ; Train loss:  0.03687502179294824
Epoch  14 ; Batch 300 ; Train loss:  0.03327639939729124
Epoch  14 ; Batch 400 ; Train loss:  0.0424389336979948
Epoch  14 ; Batch 500 ; Train loss:  0.03655250957002863
Epoch  14 ; Batch 600 ; Train loss:  0.041588430312694984
Epoch  14 ; Batch 700 ; Train loss:  0.03516455146018416
Epoch  14 ; Batch 800 ; Train loss:  0.03967294161440805
Epoch  14 ; Batch 900 ; Train loss:  0.03703262214665301
Epoch  15 ; Batch 100 ; Train loss:  0.036594904955709356
Epoch  15 ; Batch 200 ; Train loss:  0.032062382814474405
Epoch  15 ; Batch 300 ; Train loss:  0.03408277247217484
Epoch  15 ; Batch 400 ; Train loss:  0.03388488551136106
Epoch  15 ; Batch 500 ; Train loss:  0.038314386155689134
Epoch  15 ; Batch 600 ; Train loss:  0.032079160232096914
Epoch  15 ; Batch 700 ; Train loss:  0.038903983595082535
Epoch  15 ; Batch 800 ; Train loss:  0.03456168446922675
Epoch  15 ; Batch 900 ; Train loss:  0.040585329616442324
Epoch  16 ; Batch 100 ; Train loss:  0.027909133484354243
Epoch  16 ; Batch 200 ; Train loss:  0.03965399453183636
Epoch  16 ; Batch 300 ; Train loss:  0.035195876685902475
Epoch  16 ; Batch 400 ; Train loss:  0.031655794555554166
Epoch  16 ; Batch 500 ; Train loss:  0.040273790113860744
Epoch  16 ; Batch 600 ; Train loss:  0.03606115420581773
Epoch  16 ; Batch 700 ; Train loss:  0.03652268871082924
Epoch  16 ; Batch 800 ; Train loss:  0.030479747519129886
Epoch  16 ; Batch 900 ; Train loss:  0.038022692190716044
Epoch  17 ; Batch 100 ; Train loss:  0.03687185690971091
Epoch  17 ; Batch 200 ; Train loss:  0.03296702985069715
Epoch  17 ; Batch 300 ; Train loss:  0.026660702535882593
Epoch  17 ; Batch 400 ; Train loss:  0.040278119350550694
Epoch  17 ; Batch 500 ; Train loss:  0.03046996363380458
Epoch  17 ; Batch 600 ; Train loss:  0.03429156184545718
Epoch  17 ; Batch 700 ; Train loss:  0.032254369257716464
Epoch  17 ; Batch 800 ; Train loss:  0.03397786653600633
Epoch  17 ; Batch 900 ; Train loss:  0.030132423075847327
Epoch  18 ; Batch 100 ; Train loss:  0.0366552043822594
Epoch  18 ; Batch 200 ; Train loss:  0.027166472661774604
Epoch  18 ; Batch 300 ; Train loss:  0.029560214759549126
Epoch  18 ; Batch 400 ; Train loss:  0.03173344822542276
Epoch  18 ; Batch 500 ; Train loss:  0.027419503791606986
Epoch  18 ; Batch 600 ; Train loss:  0.03208077120129019
Epoch  18 ; Batch 700 ; Train loss:  0.03442948107607663
Epoch  18 ; Batch 800 ; Train loss:  0.03732141843531281
Epoch  18 ; Batch 900 ; Train loss:  0.03016195101168705
Epoch  19 ; Batch 100 ; Train loss:  0.02726628006057581
Epoch  19 ; Batch 200 ; Train loss:  0.03078203310375102
Epoch  19 ; Batch 300 ; Train loss:  0.032308188958559185
Epoch  19 ; Batch 400 ; Train loss:  0.0331456927745603
Epoch  19 ; Batch 500 ; Train loss:  0.033413093506824226
Epoch  19 ; Batch 600 ; Train loss:  0.028339125225902536
Epoch  19 ; Batch 700 ; Train loss:  0.030218876440194435
Epoch  19 ; Batch 800 ; Train loss:  0.03607047759520356
Epoch  19 ; Batch 900 ; Train loss:  0.028228915387298912
Epoch  20 ; Batch 100 ; Train loss:  0.026466053860494866
Epoch  20 ; Batch 200 ; Train loss:  0.028706239049788564
Epoch  20 ; Batch 300 ; Train loss:  0.03679262708639726
Epoch  20 ; Batch 400 ; Train loss:  0.025949748005950825
Epoch  20 ; Batch 500 ; Train loss:  0.030779967078124172
Epoch  20 ; Batch 600 ; Train loss:  0.022973983323900028
Epoch  20 ; Batch 700 ; Train loss:  0.029850430936785414
Epoch  20 ; Batch 800 ; Train loss:  0.028186312226462177
Epoch  20 ; Batch 900 ; Train loss:  0.02899315840564668
Epoch  21 ; Batch 100 ; Train loss:  0.0255120171722956
Epoch  21 ; Batch 200 ; Train loss:  0.0253400458896067
Epoch  21 ; Batch 300 ; Train loss:  0.03496734812739305
Epoch  21 ; Batch 400 ; Train loss:  0.03051768495060969
Epoch  21 ; Batch 500 ; Train loss:  0.028831697328714653
Epoch  21 ; Batch 600 ; Train loss:  0.026904473726172
Epoch  21 ; Batch 700 ; Train loss:  0.027236280424986034
Epoch  21 ; Batch 800 ; Train loss:  0.029655327495420353
Epoch  21 ; Batch 900 ; Train loss:  0.027408416509861127
Epoch  22 ; Batch 100 ; Train loss:  0.020905575080541895
Epoch  22 ; Batch 200 ; Train loss:  0.023878809014568105
Epoch  22 ; Batch 300 ; Train loss:  0.033090752239513674
Epoch  22 ; Batch 400 ; Train loss:  0.025491072694421746
Epoch  22 ; Batch 500 ; Train loss:  0.02424143775308039
Epoch  22 ; Batch 600 ; Train loss:  0.029320878745638764
Epoch  22 ; Batch 700 ; Train loss:  0.03259900826960802
Epoch  22 ; Batch 800 ; Train loss:  0.024877214160806033
Epoch  22 ; Batch 900 ; Train loss:  0.030700197917758486
Epoch  23 ; Batch 100 ; Train loss:  0.028888593768351713
Epoch  23 ; Batch 200 ; Train loss:  0.028883366680238397
Epoch  23 ; Batch 300 ; Train loss:  0.03217490828712471
Epoch  23 ; Batch 400 ; Train loss:  0.025962223693495615
Epoch  23 ; Batch 500 ; Train loss:  0.026757774107391014
Epoch  23 ; Batch 600 ; Train loss:  0.028481081457575785
Epoch  23 ; Batch 700 ; Train loss:  0.028272795392549597
Epoch  23 ; Batch 800 ; Train loss:  0.02414176891266834
Epoch  23 ; Batch 900 ; Train loss:  0.02898229531245306
Epoch  24 ; Batch 100 ; Train loss:  0.02530939539312385
Epoch  24 ; Batch 200 ; Train loss:  0.02614770658197813
Epoch  24 ; Batch 300 ; Train loss:  0.02555434626061469
Epoch  24 ; Batch 400 ; Train loss:  0.024167726111481897
Epoch  24 ; Batch 500 ; Train loss:  0.02343089522095397
Epoch  24 ; Batch 600 ; Train loss:  0.02711570243467577
Epoch  24 ; Batch 700 ; Train loss:  0.030063622237648815
Epoch  24 ; Batch 800 ; Train loss:  0.0312642280786531
Epoch  24 ; Batch 900 ; Train loss:  0.027642671183275524
Epoch  25 ; Batch 100 ; Train loss:  0.02446624723263085
Epoch  25 ; Batch 200 ; Train loss:  0.02138590396847576
Epoch  25 ; Batch 300 ; Train loss:  0.030429137596511283
Epoch  25 ; Batch 400 ; Train loss:  0.021927558729657903
Epoch  25 ; Batch 500 ; Train loss:  0.02314354625996202
Epoch  25 ; Batch 600 ; Train loss:  0.0222315995558165
Epoch  25 ; Batch 700 ; Train loss:  0.024176351090427487
Epoch  25 ; Batch 800 ; Train loss:  0.024075094904983416
Epoch  25 ; Batch 900 ; Train loss:  0.02373542455432471
Epoch  26 ; Batch 100 ; Train loss:  0.02167642597691156
Epoch  26 ; Batch 200 ; Train loss:  0.028838876839436124
Epoch  26 ; Batch 300 ; Train loss:  0.02897131963283755
Epoch  26 ; Batch 400 ; Train loss:  0.02617910900968127
Epoch  26 ; Batch 500 ; Train loss:  0.027162852448527702
Epoch  26 ; Batch 600 ; Train loss:  0.023364203316159547
Epoch  26 ; Batch 700 ; Train loss:  0.02246720248949714
Epoch  26 ; Batch 800 ; Train loss:  0.02225377262220718
Epoch  26 ; Batch 900 ; Train loss:  0.024809068221366033
Epoch  27 ; Batch 100 ; Train loss:  0.016949335288954898
Epoch  27 ; Batch 200 ; Train loss:  0.0258197146456223
Epoch  27 ; Batch 300 ; Train loss:  0.02525185971520841
Epoch  27 ; Batch 400 ; Train loss:  0.020934857369866222
Epoch  27 ; Batch 500 ; Train loss:  0.020806160559877752
Epoch  27 ; Batch 600 ; Train loss:  0.021702208402566613
Epoch  27 ; Batch 700 ; Train loss:  0.024938411838375033
Epoch  27 ; Batch 800 ; Train loss:  0.02360897207923699
Epoch  27 ; Batch 900 ; Train loss:  0.027744506180752068
Epoch  28 ; Batch 100 ; Train loss:  0.019959541182615795
Epoch  28 ; Batch 200 ; Train loss:  0.020366163557046093
Epoch  28 ; Batch 300 ; Train loss:  0.02339051581773674
Epoch  28 ; Batch 400 ; Train loss:  0.024055834265891463
Epoch  28 ; Batch 500 ; Train loss:  0.023645730764546898
Epoch  28 ; Batch 600 ; Train loss:  0.02233578243874945
Epoch  28 ; Batch 700 ; Train loss:  0.024132942359428852
Epoch  28 ; Batch 800 ; Train loss:  0.020396012599230743
Epoch  28 ; Batch 900 ; Train loss:  0.022009552791714668
Epoch  29 ; Batch 100 ; Train loss:  0.023209954304038546
Epoch  29 ; Batch 200 ; Train loss:  0.023623479589587076
Epoch  29 ; Batch 300 ; Train loss:  0.02185588092368562
Epoch  29 ; Batch 400 ; Train loss:  0.02412829043896636
Epoch  29 ; Batch 500 ; Train loss:  0.02341607409878634
Epoch  29 ; Batch 600 ; Train loss:  0.021910792649141513
Epoch  29 ; Batch 700 ; Train loss:  0.024742120285518466
Epoch  29 ; Batch 800 ; Train loss:  0.023702876038732938
Epoch  29 ; Batch 900 ; Train loss:  0.01801439611648675
Epoch  30 ; Batch 100 ; Train loss:  0.021721623975900002
Epoch  30 ; Batch 200 ; Train loss:  0.020422240453772247
Epoch  30 ; Batch 300 ; Train loss:  0.021167301259702072
Epoch  30 ; Batch 400 ; Train loss:  0.017848951209452936
Epoch  30 ; Batch 500 ; Train loss:  0.020780250064271966
Epoch  30 ; Batch 600 ; Train loss:  0.021739030982134862
Epoch  30 ; Batch 700 ; Train loss:  0.024315902640373678
Epoch  30 ; Batch 800 ; Train loss:  0.01881986686086748
Epoch  30 ; Batch 900 ; Train loss:  0.024218348579015583
Finished training!
